Date,price
2009-06-16,6220.81005859375
2009-06-17,6195.91015625
2009-06-18,6144.52978515625
2009-06-19,6231.14990234375
2009-06-22,6341.2099609375
2009-06-23,6197.47021484375
2009-06-24,6380.080078125
2009-06-25,6457.60986328125
2009-06-26,6463.56005859375
2009-06-29,6391.14990234375
2009-06-30,6432.16015625
2009-07-01,6578.97021484375
2009-07-02,6667.52978515625
2009-07-03,6665.39990234375
2009-07-06,6649.91015625
2009-07-07,6715.22021484375
2009-07-08,6668.14013671875
2009-07-09,6748.18017578125
2009-07-10,6769.85986328125
2009-07-13,6530.81982421875
2009-07-14,6639.41015625
2009-07-15,6738.60009765625
2009-07-16,6780.2998046875
2009-07-17,6850.990234375
2009-07-20,6938.85986328125
2009-07-21,6953.33984375
2009-07-22,6985.31982421875
2009-07-23,6980.8798828125
2009-07-24,6973.27978515625
2009-07-27,7028.43017578125
2009-07-28,7142.6298828125
2009-07-29,7083.6298828125
2009-07-30,7027.10986328125
2009-07-31,7077.7099609375
2009-08-03,7056.7099609375
2009-08-04,6955.8701171875
2009-08-05,6848.240234375
2009-08-06,6868.64990234375
2009-08-10,6882.8701171875
2009-08-11,6909.02001953125
2009-08-12,6898.89990234375
2009-08-13,7034.9599609375
2009-08-14,7069.509765625
2009-08-17,6931.7998046875
2009-08-18,6789.77001953125
2009-08-19,6788.580078125
2009-08-20,6733.22998046875
2009-08-21,6654.7998046875
2009-08-24,6838.25
2009-08-25,6809.41015625
2009-08-26,6719.2099609375
2009-08-27,6690.75
2009-08-28,6809.85986328125
2009-08-31,6825.9501953125
2009-09-01,7019.75
2009-09-02,7039.77001953125
2009-09-03,7104.64990234375
2009-09-04,7153.1298828125
2009-09-07,7224.58984375
2009-09-08,7313.990234375
2009-09-09,7250.72021484375
2009-09-10,7332.080078125
2009-09-11,7337.14013671875
2009-09-14,7256.9501953125
2009-09-15,7346.259765625
2009-09-16,7440.240234375
2009-09-17,7477.2998046875
2009-09-18,7526.5498046875
2009-09-21,7502.4599609375
2009-09-22,7469.02978515625
2009-09-23,7376.759765625
2009-09-24,7324.22021484375
2009-09-25,7345.22021484375
2009-09-28,7284.60986328125
2009-09-29,7429.97998046875
2009-09-30,7509.169921875
2009-10-01,7545.2900390625
2009-10-02,7411.8798828125
2009-10-05,7437.97998046875
2009-10-06,7536.0498046875
2009-10-07,7608.66015625
2009-10-08,7503.31005859375
2009-10-09,7571.9599609375
2009-10-12,7599.8798828125
2009-10-13,7596.60009765625
2009-10-14,7695.75
2009-10-15,7710.39990234375
2009-10-16,7715.10009765625
2009-10-19,7751.31982421875
2009-10-20,7753.52001953125
2009-10-21,7701.5
2009-10-22,7607.93017578125
2009-10-23,7649.27978515625
2009-10-26,7668.39990234375
2009-10-27,7657.33984375
2009-10-28,7533.9501953125
2009-10-29,7355.68994140625
2009-10-30,7340.080078125
2009-11-02,7335.18017578125
2009-11-03,7322.93017578125
2009-11-04,7467.0400390625
2009-11-05,7417.4599609375
2009-11-06,7463.0498046875
2009-11-09,7536.7001953125
2009-11-10,7593.490234375
2009-11-11,7668.06005859375
2009-11-12,7670.93017578125
2009-11-13,7665.6298828125
2009-11-16,7792.68017578125
2009-11-17,7733.2099609375
2009-11-18,7766.68994140625
2009-11-19,7759.97998046875
2009-11-20,7682.97021484375
2009-11-23,7687.14990234375
2009-11-24,7714.56005859375
2009-11-25,7756.31005859375
2009-11-26,7739.16015625
2009-11-27,7490.91015625
2009-11-30,7582.2099609375
2009-12-01,7649.22998046875
2009-12-02,7677.6201171875
2009-12-03,7684.669921875
2009-12-04,7650.91015625
2009-12-07,7775.64013671875
2009-12-08,7768.7099609375
2009-12-09,7797.419921875
2009-12-10,7677.91015625
2009-12-11,7795.06982421875
2009-12-14,7819.1298828125
2009-12-15,7807.6201171875
2009-12-16,7751.60009765625
2009-12-17,7742.169921875
2009-12-18,7753.6298828125
2009-12-21,7787.27001953125
2009-12-22,7856.0
2009-12-23,7901.5
2009-12-24,7963.5400390625
2009-12-25,7972.58984375
2009-12-28,8057.490234375
2009-12-29,8053.830078125
2009-12-30,8112.27978515625
2009-12-31,8188.10986328125
2010-01-04,8207.849609375
2010-01-05,8211.400390625
2010-01-06,8327.6201171875
2010-01-07,8237.419921875
2010-01-08,8280.900390625
2010-01-11,8323.8203125
2010-01-12,8309.3701171875
